,position0,position1,position2,position3,position4,position5,velocity0,velocity1,velocity2,velocity3,velocity4,velocity5,velocity6,touch0,touch1,action0,action1,action2,action3
0,0.0009176543858289007,0.03234690976404453,-0.02438080799508774,-0.031012839527951974,0.023565055542060342,-0.006984949197024082,-0.04535573502849212,0.07411518450177085,2.5884522464928814,-1.9485347929914794,-2.481445121849452,1.8895181196825876,-0.5594867848341945,0.0,0.0,0.9760022163391113,0.891281247138977,-0.691012442111969,0.689832329750061
0,0.0025591308587783763,0.07642328152362421,-0.051070628731516965,-0.08550180166432564,0.06547036842127474,-0.013125289910021376,0.035338108982222144,0.11059359634512908,0.9977039822175637,0.43848247867780277,-3.132097022773495,2.1191954042265277,-0.16408209727201828,0.0,0.0,0.964867353439331,0.9380656480789185,-0.8498038053512573,0.24144554138183594
0,0.005737640624993682,0.0613358460443818,0.0017181577169800288,-0.14865794233695478,0.10829644904171198,-0.024193266496798538,0.07400172667557697,0.15894737107580612,-0.41072868536660945,1.9517400729084409,-2.799760965001136,2.318776623261508,-0.778780396706481,0.0,0.0,0.9808731079101562,0.7133505344390869,-0.9976608157157898,0.8517508506774902
0,0.009013186121555605,0.04504217177871428,0.00842888822995258,-0.1413072967982673,0.14779247712660748,-0.0389466168647134,-0.009632664772954366,0.16762016539677715,-1.4536153322671566,-0.07635870504337566,2.153862816240581,1.6960162410598763,-0.7103886034976707,0.0,0.0,0.8204989433288574,-0.8521246910095215,-0.9882509708404541,0.6689481735229492
0,0.012206478479233264,0.021013208305163955,0.005327906302116769,-0.10754256875717808,0.18236054960560777,-0.05366370089009498,-0.009887909221505835,0.15902335691184533,-1.0876438019062935,-0.15414729714564201,1.402068690313774,1.75823246315848,-0.7546478905275533,0.0,0.0,0.7386939525604248,-0.6109493970870972,-0.943888247013092,0.7279754877090454
0,0.01677044552728249,0.004541335537513902,0.0030909198496067436,-0.07728156879169587,0.17882623509204132,-0.061497990313401585,-0.020715272681057238,0.2671040669716559,-0.6479231237102246,-0.08840899421161534,1.5883086700070739,-1.3592709618391972,-0.16913874648620952,0.0,0.0,0.6663920879364014,-0.4453282356262207,0.5565383434295654,0.12893855571746826
0,0.02201399967689064,-0.011334316291466306,0.0019541830518399195,-0.03866281022472045,0.14459562673517878,-0.06121492374600407,-0.01067462311817871,0.25894070114972834,-0.8759722861129414,-0.04268754152666676,2.1359891800666864,-1.9207454724152973,0.12450506941053385,0.0,0.0,0.30463194847106934,-0.6187890768051147,0.7064144611358643,-0.1616441011428833
0,0.026590240619001212,-0.023019200798330086,0.006309720084286208,-0.02469226005502061,0.1374338634104354,-0.05830382679967927,0.00047358539150566155,0.21401827296896503,-0.4197096320291376,0.3771742525973712,-0.16173225157825555,0.5934211598017622,0.1534102449179029,0.0,0.0,-0.18292194604873657,-0.013332664966583252,-0.2589510679244995,-0.2034427523612976
0,0.030848429141675612,-0.027506833284565935,0.00932109897433231,-0.030200097922950527,0.1545353695364805,-0.055107384329087766,-0.017289208113678407,0.21308439773075527,-0.10853304215458914,0.015357551736869923,-0.3427802060378631,1.012302033227468,0.16261311447650773,0.0,0.0,-0.021215975284576416,0.05590653419494629,-0.4001035690307617,-0.2363818883895874
0,0.01709674965915506,0.020188226640508344,0.00744399129386264,-0.04537124439399518,0.05751670150089799,-0.15232296437642348,0.2560973156190729,-0.9458196664160544,2.9295411001742226,-0.07212657487329666,-0.6540495488735689,-6.611782215670896,-6.239421281039446,0.0,-5.704436910728027,-0.248369038105011,-0.35464316606521606,-0.2087780237197876,-0.24484306573867798
0,0.0037797736602345477,0.06982752081283539,-0.012131723365048752,-0.08238910541712231,0.05157336504623555,-0.06889786018929395,0.3461578908661598,-0.5609877615097298,2.871230735354178,-1.4242200885420255,-2.7989885223729445,1.6748348476420518,6.994035134089231,-4.8676555079256865,2.3759555038794415,0.5463466644287109,0.8327804803848267,-0.3634410500526428,-0.9993854761123657
0,0.0021946751833619993,0.062478244607561795,-0.011172837863035467,-0.07266132956797475,0.053100576004442845,-0.03271261898400431,0.14879578966112672,-0.06368459488282399,-3.2240077817779476,0.8071783787330337,4.257436080345482,-1.5794903301235048,0.3658216481510381,0.23513262310009075,-0.49012249325487733,-0.21161454916000366,0.35966992378234863,-0.07561463117599487,0.7713658809661865
